Grant,Organization,"Main Topic",Topics,"Date of Award",Amount
"80,000 Hours — Marketing (2025)","80,000 Hours","Global Catastrophic Risks","Global Catastrophic Risks",02/2025,"$2,700,000"
"80,000 Hours — Marketing (October 2023)","80,000 Hours","Global Catastrophic Risks","Global Catastrophic Risks",10/2023,"$2,400,000"
"A La Defensa — Prosecutor Accountability","A La Defensa","Criminal Justice Reform","Criminal Justice Reform",01/2020,"$125,000"
"A New Way of Life — Civic Engagement Work","A New Way of Life","Criminal Justice Reform","Criminal Justice Reform",11/2020,"$200,000"
"A New Way of Life — General Support","A New Way of Life","Criminal Justice Reform","Criminal Justice Reform",04/2020,"$25,000"
"A World of Good Initiative — Animal Welfare Forum in Asia","A World of Good Initiative","Farm Animal Welfare","Farm Animal Welfare",09/2024,"$46,600"
"A World of Good Initiative — Animal Welfare in Asia","A World of Good Initiative","Global Health and Wellbeing","Global Health and Wellbeing; Farm Animal Welfare",12/2024,"$156,000"
"Aaron Mayer — Effective Altruism Community Growth Projects","Aaron Mayer","Effective Giving and Careers","Effective Giving and Careers",07/2022,"$85,000"
"Abdul Latif Jameel Poverty Action Lab — Innovation and Science Research","Abdul Latif Jameel Poverty Action Lab","Global Health & Development","Global Health & Development",08/2022,"$649,176"
"Abundant Housing LA — General Support","Abundant Housing LA","Housing Policy Reform","Housing Policy Reform",05/2021,"$150,000"
"AcceleratingHT — COVID-19 Response",AcceleratingHT,"Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",09/2020,"$50,000"
"Accountability Board — Advocacy Campaigns","The Accountability Board","Farm Animal Welfare","Farm Animal Welfare",08/2022,"$10,324,603"
"Accountable Justice Project — General Support","Accountable Justice Project","Criminal Justice Reform","Criminal Justice Reform",04/2016,"$350,000"
"ACLU Foundation — Disability Rights Fellowship","American Civil Liberties Union Foundation","Criminal Justice Reform","Criminal Justice Reform",04/2017,"$45,000"
"ACLU of Northern California — Prosecutorial Accountability","ACLU Foundation of Northern California","Criminal Justice Reform","Criminal Justice Reform",02/2017,"$250,000"
"ACLU of Oregon — Prosecutorial Accountability","American Civil Liberties Union Foundation of Oregon","Criminal Justice Reform","Criminal Justice Reform",03/2017,"$145,000"
"Action St. Louis — Prosecutor Accountability","Action St. Louis","Criminal Justice Reform","Criminal Justice Reform",05/2021,"$65,000"
"Adekunle Ajasin University — Cryptosporidiosis Study","Adekunle Ajasin University","Scientific Research","Scientific Research",04/2025,"$30,000"
"African Union Development Agency — General Support (2020)","African Union Development Agency","Scientific Research","Scientific Research",04/2020,"$2,500,000"
"Against COVID-19 — COVID-19 Database Support","Against COVID-19","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",03/2020,"$10,000"
"Against Malaria Foundation — General Support","Against Malaria Foundation","Global Health & Development","Global Health & Development",01/2016,"$22,845,518"
"Against Malaria Foundation — General Support","Against Malaria Foundation","Global Health & Development","Global Health & Development",12/2017,"$2,500,000"
"Against Malaria Foundation — General Support","Against Malaria Foundation","Global Health & Development","Global Health & Development",12/2011,"$500,000"
"Against Malaria Foundation — General Support","Against Malaria Foundation","Global Health & Development","Global Health & Development",01/2017,"$15,080,000"
"Against Malaria Foundation — General Support","Against Malaria Foundation","Global Health & Development","Global Health & Development",12/2014,"$5,000,000"
"Against Malaria Foundation — General Support","Against Malaria Foundation","Global Health & Development","Global Health & Development",12/2012,"$1,250,000"
"Against Malaria Foundation — General Support (2020)","Against Malaria Foundation","Global Health & Development","Global Health & Development",12/2020,"$6,651,000"
"Against Malaria Foundation — General Support (December 2018)","Against Malaria Foundation","Global Health & Development","Global Health & Development",12/2018,"$2,500,000"
"Against Malaria Foundation — General Support (December 2019)","Against Malaria Foundation","Global Health & Development","Global Health & Development",12/2019,"$2,500,000"
"Against Malaria Foundation — Insecticide-Treated Bednets","Against Malaria Foundation","Global Health & Development","Global Health & Development",06/2024,"$22,000,000"
"Against Malaria Foundation Korea — Operating Expenses","Against Malaria Foundation Korea","Effective Giving and Careers","Effective Giving and Careers",06/2025,"$240,000"
"Agricultural Research Service — Malaria Control Research (2021)","Agricultural Research Service","Global Health & Development","Global Health & Development",08/2021,"$321,219"
"AHADI — Health Sector Assistance in Ghana and Guinea",AHADI,"Global Health R&amp;D","Global Health R&amp;D",05/2025,"$1,094,661"
"AI Alignment Awards — Shutdown Problem Contest","AI Alignment Awards","Potential Risks from Advanced AI","Potential Risks from Advanced AI",09/2022,"$75,000"
"AI Impacts — Expert Survey on Progress in AI","AI Impacts","Potential Risks from Advanced AI","Potential Risks from Advanced AI",08/2023,"$345,000"
"AI Impacts — General Support","AI Impacts","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",12/2016,"$32,000"
"AI Impacts — General Support (2018)","AI Impacts","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",06/2018,"$100,000"
"AI Impacts — General Support (2020)","AI Impacts","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",11/2020,"$50,000"
"AI Impacts — General Support (2022)","AI Impacts","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",06/2022,"$364,893"
"AI Impacts — General Support (2023)","AI Impacts","Potential Risks from Advanced AI","Potential Risks from Advanced AI",08/2023,"$620,000"
"AI Safety Argentina — Research Scholarships","AI Safety Argentina","Global Catastrophic Risks","Global Catastrophic Risks",03/2025,"$77,000"
"AI Safety Support – Astra Fellowship","AI Safety Support","Potential Risks from Advanced AI","Potential Risks from Advanced AI",01/2024,"$617,000"
"AI Safety Support — AI Safety Research Expenses (2025)","MATS Research","Global Catastrophic Risks","Global Catastrophic Risks",03/2025,"$2,321,550"
"AI Safety Support — AI Safety Technical Program","AI Safety Support","Potential Risks from Advanced AI","Potential Risks from Advanced AI",05/2023,"$146,165"
"AI Safety Support — MATS Program (November 2023)","AI Safety Support","Global Catastrophic Risks","Global Catastrophic Risks",11/2023,"$732,631"
"AI Safety Support — MATS Program 6.0 + 7.0","AI Safety Support","Global Catastrophic Risks","Global Catastrophic Risks",05/2024,"$2,381,609"
"AI Safety Support — MATS Program Extension","AI Safety Support","Potential Risks from Advanced AI","Potential Risks from Advanced AI",10/2024,"$709,567"
"AI Safety Support — SERI MATS 4.0","AI Safety Support","Potential Risks from Advanced AI","Potential Risks from Advanced AI",06/2023,"$1,207,840"
"AI Safety Support — SERI MATS Program","AI Safety Support","Potential Risks from Advanced AI","Potential Risks from Advanced AI",11/2022,"$1,538,000"
"AI Safety Support — Situational Awareness Research","AI Safety Support","Potential Risks from Advanced AI","Potential Risks from Advanced AI",04/2023,"$408,971"
"AI Scholarships — Scholarship Support (2018)","AI Scholarships","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",02/2018,"$159,000"
"AI Standards Lab — AI Standards and Risk Management Frameworks","AI Standards Lab","Potential Risks from Advanced AI","Potential Risks from Advanced AI",05/2024,"$200,000"
"AI Worldviews Contest Winners",,"Potential Risks from Advanced AI","Potential Risks from Advanced AI",08/2023,"$225,000"
"AidData — General Support",AidData,"Global Aid Policy","Global Aid Policy",12/2022,"$250,000"
"Albert Einstein College of Medicine — Fluorescent Auxotrophic TB Test","Albert Einstein College of Medicine","Scientific Research","Scientific Research",05/2025,"$750,000"
"Albert Schweitzer Foundation — Fish Welfare","Albert Schweitzer Foundation","Farm Animal Welfare","Farm Animal Welfare",01/2017,"$317,060"
"Albert Schweitzer Foundation — General Support","Albert Schweitzer Foundation","Farm Animal Welfare","Farm Animal Welfare",09/2017,"$1,000,000"
"Albert Schweitzer Foundation — General Support (2019)","Albert Schweitzer Foundation","Farm Animal Welfare","Farm Animal Welfare",08/2019,"$1,600,000"
"Albert Schweitzer Foundation — General Support (2021)","Albert Schweitzer Foundation","Farm Animal Welfare","Farm Animal Welfare",10/2021,"$3,000,000"
"Albert Schweitzer Foundation — General Support (2024)","Albert Schweitzer Foundation","Farm Animal Welfare","Farm Animal Welfare",11/2024,"$1,745,172"
"Albert Schweitzer Foundation — International Cage-Free Advocacy","Albert Schweitzer Foundation","Farm Animal Welfare","Farm Animal Welfare",01/2017,"$111,986"
"Albright Stonebridge Group – Korean Global Aid Advocacy","Albright Stonebridge Group","Global Aid Policy","Global Aid Policy",01/2024,"$1,000,000"
"Algorithmic Research Group — Language Model Capabilities Benchmarking (2024)","Algorithmic Research Group","Potential Risks from Advanced AI","Potential Risks from Advanced AI",08/2024,"$1,052,500"
"Ali Merali — Economics Research on AI Model Scaling Effects","Ali Merali","Potential Risks from Advanced AI","Potential Risks from Advanced AI",07/2024,"$54,650"
"Alianima — Corporate Pledge Implementation in Brazil",Alianima,"Farm Animal Welfare","Farm Animal Welfare",01/2022,"$481,000"
"Alianima — Corporate Pledge Implementation in Brazil (2025)",Alianima,"Farm Animal Welfare","Farm Animal Welfare",02/2025,"$887,580"
"Alianima — General Support",Alianima,"Farm Animal Welfare","Farm Animal Welfare",03/2020,"$130,000"
"Alignment Research Center — General Support","Alignment Research Center","Potential Risks from Advanced AI","Potential Risks from Advanced AI",03/2022,"$265,000"
"Alignment Research Center — General Support (November 2022)","Alignment Research Center","Potential Risks from Advanced AI","Potential Risks from Advanced AI",11/2022,"$1,250,000"
"Alignment Research Engineer Accelerator — AI Safety Technical Program (2024)","Alignment Research Engineer Accelerator","Global Catastrophic Risks","Global Catastrophic Risks",07/2024,"$318,272"
"Alignment Research Engineer Accelerator — AI Safety Technical Program (2025)","Alignment Research Engineer Accelerator","Global Catastrophic Risks","Global Catastrophic Risks",01/2025,"$1,037,061"
"Alliance for International Medical Action — Treatment of Malnutrition in Niger","Alliance for International Medical Action","Global Health & Development","Global Health & Development",01/2021,"$1,008,450"
"Alliance for International Medical Action (ALIMA) — Malnutrition Treatment in Chad (May 2021)","Alliance for International Medical Action","Global Health & Development","Global Health & Development",06/2021,"$7,968,073"
"Alliance for Open Society International — Albanian Renaissance","Alliance for Open Society International",Co-Funding,Co-Funding,07/2014,"$500,000"
"Alliance for Safety and Justice — General Support","Alliance for Safety and Justice","Criminal Justice Reform","Criminal Justice Reform",02/2016,"$1,750,000"
"Alliance for Safety and Justice — General Support","Alliance for Safety and Justice","Criminal Justice Reform","Criminal Justice Reform",06/2016,"$3,000,000"
"Alliance for Safety and Justice — General Support (2017)","Alliance for Safety and Justice","Criminal Justice Reform","Criminal Justice Reform",04/2017,"$4,000,000"
"Alliance for Safety and Justice — General Support (2018)","Alliance for Safety and Justice","Criminal Justice Reform","Criminal Justice Reform",11/2018,"$3,000,000"
"Alliance for Safety and Justice — General Support (2019)","Alliance for Safety and Justice","Criminal Justice Reform","Criminal Justice Reform",12/2019,"$4,000,000"
"Alliance for Safety and Justice — General Support (2019)","Alliance for Safety and Justice","Criminal Justice Reform","Criminal Justice Reform",05/2019,"$15,000"
"Altruistic Technology Labs — Planning Grant","Altruistic Technology Labs","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",12/2020,"$250,000"
"Altruistic Technology Labs — Work on Biological Risk Prevention","Altruistic Technology Labs","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",05/2019,"$440,525"
"Ambitious Impact — Amplification Fund","Ambitious Impact","Effective Giving and Careers","Effective Giving and Careers",04/2025,"$750,000"
"Ambitious Impact — Farm Animal Welfare Charity Incubator (2024)","Ambitious Impact, Charity Entrepreneurship","Farm Animal Welfare","Farm Animal Welfare",09/2024,"$1,296,986"
"Ambitious Impact — General Support (2025)","Ambitious Impact","Effective Giving and Careers","Effective Giving and Careers",03/2025,"$1,250,000"
"American Conservative Union — Center for Criminal Justice Reform (2016)","American Conservative Union","Criminal Justice Reform","Criminal Justice Reform",05/2016,"$200,000"
"American Conservative Union — Center for Criminal Justice Reform (2017)","American Conservative Union","Criminal Justice Reform","Criminal Justice Reform",07/2017,"$206,000"
"American Conservative Union Foundation — Criminal Justice Reform (2018)","American Conservative Union Foundation","Criminal Justice Reform","Criminal Justice Reform",08/2018,"$212,000"
"American Conservative Union Foundation — Criminal Justice Reform (2019)","American Conservative Union Foundation","Criminal Justice Reform","Criminal Justice Reform",10/2019,"$225,000"
"American Conservative Union Foundation — Criminal Justice Reform (2021)","American Conservative Union Foundation","Criminal Justice Reform","Criminal Justice Reform",02/2021,"$150,000"
"American Society for Microbiology — Biothreats Meeting","American Society for Microbiology","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",12/2017,"$43,149"
"American University — Solar Geoengineering Initiative","American University","Global Catastrophic Risks","Global Catastrophic Risks",09/2022,"$200,000"
"American University of Beirut — STI Diagnostic","American University of Beirut","Scientific Research","Scientific Research",04/2023,"$49,000"
"Amistad Law Project &#8211; General Support","Amistad Law Project","Criminal Justice Reform","Criminal Justice Reform",02/2019,"$25,000"
"Amistad Law Project — General Support (April 2020)","Amistad Law Project","Criminal Justice Reform","Criminal Justice Reform",04/2020,"$15,000"
"Amistad Law Project — General Support (February 2020)","Amistad Law Project","Criminal Justice Reform","Criminal Justice Reform",02/2020,"$25,000"
"Angela Aristizábal — ITAM AI Futures Fellowship","Angela Aristizábal","Global Catastrophic Risks","Global Catastrophic Risks",08/2023,"$390,155"
"Anhimalia — Cage-free Campaigns in Argentina",Anhimalia,"Farm Animal Welfare","Farm Animal Welfare",07/2024,"$96,000"
"Anima — Chicken Welfare Campaigns and Merger Support",Anima,"Farm Animal Welfare","Farm Animal Welfare",10/2017,"$683,000"
"Anima — Movement Building",Anima,"Farm Animal Welfare","Farm Animal Welfare",04/2019,"$367,222"
"Anima International — Chicken Welfare Campaigns (2019)","Anima International","Farm Animal Welfare","Farm Animal Welfare",10/2019,"$1,700,000"
"Anima International — Chicken Welfare Campaigns (2022)","Anima International","Farm Animal Welfare","Farm Animal Welfare",04/2022,"$5,778,000"
"Anima International — Farm Animal Welfare Work","Anima International","Farm Animal Welfare","Farm Animal Welfare",04/2021,"$152,000"
"Animal &#038; Vegan Advocacy Summit — Conference Support (2023)","Animal &amp; Vegan Advocacy Summit","Farm Animal Welfare","Farm Animal Welfare",09/2023,"$169,200"
"Animal &#038; Vegan Advocacy Summit — Conference Support (2024)","Animal &amp; Vegan Advocacy Summit","Global Health and Wellbeing","Global Health and Wellbeing; Farm Animal Welfare",11/2024,"$186,000"
"Animal &#038; Vegan Advocacy Summit — General Support","Animal &amp; Vegan Advocacy Summit","Global Health and Wellbeing","Global Health and Wellbeing; Farm Animal Welfare",12/2024,"$550,000"
"Animal &#038; Vegan Advocacy Summit — Travel Scholarships (2022)","Animal &amp; Vegan Advocacy Summit","Farm Animal Welfare","Farm Animal Welfare",08/2022,"$100,000"
"Animal &#038; Vegan Advocacy Summit — Travel Scholarships (2023)","Animal &amp; Vegan Advocacy Summit","Farm Animal Welfare","Farm Animal Welfare",12/2022,"$100,000"
"Animal &#038; Vegan Advocacy Summit — Travel Scholarships (2024)","Animal &amp; Vegan Advocacy Summit","Farm Animal Welfare","Farm Animal Welfare",01/2024,"$360,000"
"Animal Advocacy Careers — Career Coaching for Animal Advocates","Animal Advocacy Careers","Farm Animal Welfare","Farm Animal Welfare",02/2023,"$500,000"
"Animal Advocacy Careers — General Support","Animal Advocacy Careers","Farm Animal Welfare","Farm Animal Welfare",06/2020,"$432,000"
"Animal Advocacy Careers — General Support (2025)","Animal Advocacy Careers","Farm Animal Welfare","Farm Animal Welfare",02/2025,"$1,500,000"
"Animal Alliance Asia — Farm Animal Welfare Movement Building","Animal Alliance Asia","Farm Animal Welfare","Farm Animal Welfare",08/2023,"$164,000"
"Animal Ask — Cage-free Data Analysis","Animal Ask","Farm Animal Welfare","Farm Animal Welfare",04/2025,"$35,000"
"Animal Ask — Farm Animal Welfare Strategy Research (2023)","Animal Ask","Farm Animal Welfare","Farm Animal Welfare",01/2023,"$150,000"
"Animal Ask — Fish Advocacy Research","Animal Ask","Farm Animal Welfare","Farm Animal Welfare",09/2024,"$240,000"
"Animal Ask — General Support","Animal Ask","Farm Animal Welfare","Farm Animal Welfare",03/2022,"$130,000"
"Animal Charity Evaluators — General Support","Animal Charity Evaluators","Farm Animal Welfare","Farm Animal Welfare",04/2017,"$500,000"
"Animal Charity Evaluators — General Support (2020)","Animal Charity Evaluators","Farm Animal Welfare","Farm Animal Welfare",01/2020,"$650,000"
"Animal Charity Evaluators — General Support (2021)","Animal Charity Evaluators","Farm Animal Welfare","Farm Animal Welfare",06/2021,"$700,000"
"Animal Charity Evaluators — General Support (2023)","Animal Charity Evaluators","Farm Animal Welfare","Farm Animal Welfare",01/2023,"$350,000"
"Animal Charity Evaluators — General Support (2024)","Animal Charity Evaluators","Farm Animal Welfare","Farm Animal Welfare",03/2024,"$900,000"
"Animal Charity Evaluators — Impact Consultant ","Animal Charity Evaluators","Farm Animal Welfare","Farm Animal Welfare",08/2023,"$20,000"
"Animal Empathy Philippines — Community Building Work","Animal Empathy Philippines","Farm Animal Welfare","Farm Animal Welfare",06/2023,"$150,000"
"Animal Empathy Philippines — Farm Animal Welfare Movement Building","Animal Empathy Philippines","Farm Animal Welfare","Farm Animal Welfare",04/2025,"$200,296"
"Animal Equality — Broiler Welfare Campaigns","Animal Equality","Farm Animal Welfare","Farm Animal Welfare",01/2019,"$215,000"
"Animal Equality — Cage-Free and Broiler Welfare","Animal Equality — Cage-Free and Broiler Welfare","Farm Animal Welfare","Farm Animal Welfare",02/2020,"$1,901,000"
"Animal Equality — Cage-Free and Broiler Welfare (2021)","Animal Equality","Farm Animal Welfare","Farm Animal Welfare",07/2021,"$3,000,000"
"Animal Equality — Corporate Animal Welfare Campaigns","Animal Equality","Farm Animal Welfare","Farm Animal Welfare",06/2018,"$2,772,430"
"Animal Equality — EU Farm Animal Welfare","Animal Equality","Farm Animal Welfare","Farm Animal Welfare",11/2017,"$2,110,460"
"Animal Equality — India Animal Welfare Reform","Animal Equality","Farm Animal Welfare","Farm Animal Welfare",05/2017,"$292,000"
"Animal Equality — International Cage-Free Advocacy","Animal Equality","Farm Animal Welfare","Farm Animal Welfare",08/2016,"$500,000"
"Animal Ethics — Longtermist Animal Welfare Research","Animal Ethics",Longtermism,"Longtermism; Farm Animal Welfare",02/2023,"$6,100"
"Animal Justice Canada — Animal Welfare Corporate Campaigns (2022)","Animal Justice Canada","Farm Animal Welfare","Farm Animal Welfare",08/2022,"$469,916"
"Animal Justice Canada — Cage-free Corporate Campaigns (2025)","Animal Justice Canada","Farm Animal Welfare","Farm Animal Welfare",03/2025,"$400,000"
"Animal Kingdom Foundation — Corporate Campaigns","Animal Kingdom Foundation","Farm Animal Welfare","Farm Animal Welfare",09/2019,"$220,866"
"Animal Kingdom Foundation — Farm Animal Welfare in the Philippines","Animal Kingdom Foundation","Farm Animal Welfare","Farm Animal Welfare",07/2023,"$359,455"
"Animal Law Foundation — Farm Animal Welfare Legal Work (2022)","Animal Law Foundation","Farm Animal Welfare","Farm Animal Welfare",10/2022,"$140,796"
"Animal Law Foundation — Farm Animal Welfare Legal Work (2024)","Animal Law Foundation","Global Health and Wellbeing","Global Health and Wellbeing; Farm Animal Welfare",11/2024,"$255,320"
"Animal Nepal — Farm Animal Welfare","Animal Nepal","Farm Animal Welfare","Farm Animal Welfare",04/2020,"$271,700"
"Animal Outlook — Animal Welfare Investigation","Animal Outlook","Farm Animal Welfare","Farm Animal Welfare",06/2022,"$125,000"
"Animal Outlook — Factory Farm Investigations Media Coverage","Animal Outlook","Farm Animal Welfare","Farm Animal Welfare",05/2020,"$44,200"
"Animal Outlook — Investigations Training","Animal Outlook","Farm Animal Welfare","Farm Animal Welfare",08/2023,"$50,000"
"Animal Protection Denmark — Wild-Caught Fish Welfare","Animal Protection Denmark","Farm Animal Welfare","Farm Animal Welfare",04/2021,"$283,000"
"Animal Rights Center Japan — Broiler and Layer Hen Campaigns","Animal Rights Center Japan","Farm Animal Welfare","Farm Animal Welfare",07/2019,"$224,000"
"Animal Rights Center Japan — Corporate Campaigns (2022)","Animal Rights Center Japan","Farm Animal Welfare","Farm Animal Welfare",01/2022,"$300,000"
"Animal Welfare Corporate Partners — Cage-free Implementation in Japan ","Animal Welfare Corporate Partners","Farm Animal Welfare","Farm Animal Welfare",12/2023,"$558,890"
"Animal Welfare Economics Working Group — General Support","Center for Policy and Animal Welfare","Global Health and Wellbeing","Global Health and Wellbeing; Farm Animal Welfare",12/2024,"$55,000"
"Animal Welfare Observatory — Farm Animal Welfare Campaigns","Animal Welfare Observatory","Farm Animal Welfare","Farm Animal Welfare",01/2025,"$1,303,598"
"Animals Aotearoa – Broiler Welfare Campaigns","Animals Aotearoa","Farm Animal Welfare","Farm Animal Welfare",03/2024,"$150,000"
"Animals Australia Federation — Pig Welfare in Indonesia","Animals Australia Federation","Farm Animal Welfare","Farm Animal Welfare",06/2019,"$48,324"
"ANTI-VeC — Malaria Prevention Research",ANTI-VeC,"Scientific Research","Scientific Research",10/2020,"$700,000"
"Apart Research — AI Alignment Hackathons (2025)","Apart Research","Global Catastrophic Risks","Global Catastrophic Risks",01/2025,"$161,280"
"Apollo Research — General Support","Apollo Research","Potential Risks from Advanced AI","Potential Risks from Advanced AI",05/2024,"$2,178,700"
"Apollo Research — Startup Funding","Apollo Research","Potential Risks from Advanced AI","Potential Risks from Advanced AI",06/2023,"$1,535,480"
"Applied Research Laboratory for Intelligence and Security — Forecasting Platforms","Applied Research Laboratory for Intelligence and Security",Forecasting,Forecasting,09/2021,"$7,993,780"
"Applied Research Laboratory for Intelligence and Security — Report on Security Clearances","Applied Research Laboratory for Intelligence and Security","Potential Risks from Advanced AI","Potential Risks from Advanced AI",07/2021,"$70,000"
"Aquaculture Stewardship Council — Fish Welfare Standard Development","Aquaculture Stewardship Council","Farm Animal Welfare","Farm Animal Welfare",11/2017,"$533,036"
"Aquaculture Stewardship Council — Organizational Development","Aquaculture Stewardship Council","Farm Animal Welfare","Farm Animal Welfare",03/2018,"$13,813"
"Aquaculture Stewardship Council — Welfare Standards","Aquaculture Stewardship Council","Fish Welfare","Fish Welfare; Farm Animal Welfare",04/2023,"$525,000"
"Aquatic Life Institute — Aquatic Animal Welfare","Aquatic Life Institute","Farm Animal Welfare","Farm Animal Welfare",11/2022,"$150,000"
"Aquatic Life Institute — Fish Welfare Benchmarking","Aquatic Life Institute","Fish Welfare","Fish Welfare; Global Health and Wellbeing; Farm Animal Welfare",11/2024,"$114,420"
"Aquatic Life Institute — General Support","Aquatic Life Institute","Farm Animal Welfare","Farm Animal Welfare",06/2022,"$100,000"
"Aquatic Life Institute — General Support (2023)","Aquatic Life Institute","Fish Welfare","Fish Welfare",12/2023,"$550,000"
"Arc Institute — General Support","Arc Research Institute","Biosecurity and Pandemic Preparedness","Scientific Research; Biosecurity and Pandemic Preparedness",03/2022,"$24,000,000"
"Arc Institute — General Support","Arc Institute","Scientific Research","Scientific Research",12/2021,"$24,000,000"
"Arcadia Impact — EA and AI Group Support in London","Arcadia Impact","Global Catastrophic Risks","Global Catastrophic Risks",10/2024,"$1,635,580"
"Arcadia Impact — University Group Support","Arcadia Impact","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",11/2023,"$405,254"
"Arizona State University — Adversarial Robustness Research","Arizona State University","Potential Risks from Advanced AI","Potential Risks from Advanced AI",08/2022,"$200,000"
"Arizona State University — Canine Cancer Vaccine Trial (Stephen Johnston)","Arizona State University","Scientific Research","Scientific Research",11/2017,"$7,421,402"
"Arizona State University — Projects to Estimate Biological Risk","Arizona State University","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",10/2022,"$709,499"
"ARNOVA — History of Philanthropy Prize",ARNOVA,"History of Philanthropy","History of Philanthropy",08/2015,"$2,000"
"Asia for Animals Coalition — Farm Animal Welfare Movement Building in Asia","Asia for Animals Coalition","Farm Animal Welfare","Farm Animal Welfare",08/2023,"$250,000"
"Asothia — Funding Opportunity Tool",Asothia,"Abundance &amp; Growth","Abundance &amp; Growth",01/2025,"$14,472"
"Associated Students of Stanford University — Stanford Law School EA Group","Associated Students of Stanford University, Stanford University","Effective Giving and Careers","Effective Giving and Careers",08/2022,"$10,000"
"ASUC — Effective Altruists of Berkeley &#8220;DeCal&#8221; University Course","Associated Students of the University of California, Berkeley","Effective Giving and Careers","Effective Giving and Careers",02/2015,"$10,000"
"Atlas Computing — Research Exploration","Atlas Computing","Global Catastrophic Risks","Global Catastrophic Risks",05/2025,"$100,000"
"Atlas Fellowship — General Support","Atlas Fellowship","Effective Giving and Careers","Effective Giving and Careers",12/2022,"$1,800,000"
"Atlas Fellowship — General Support (2023)","Atlas Fellowship","Effective Giving and Careers","Effective Giving and Careers",04/2023,"$2,000,000"
"Atlas Fellowship — Scholarships and Summer Program for Students","Atlas Fellowship","Effective Giving and Careers","Effective Giving and Careers",03/2022,"$5,000,000"
"AU — Forum for Climate Engineering Assessment","Forum for Climate Engineering Assessment","Solar Radiation Management","Global Catastrophic Risks; Solar Radiation Management",05/2016,"$76,234"
"Aubin Pictures — Criminal Justice Media Archive","Aubin Pictures","Criminal Justice Reform","Criminal Justice Reform",07/2018,"$60,000"
"Aubin Pictures — Criminal Justice Media Archive Scoping","Aubin Pictures","Criminal Justice Reform","Criminal Justice Reform",12/2017,"$25,000"
"AURA — YIMBYTown (2024)",AURA,"Housing Policy Reform","Housing Policy Reform",09/2023,"$75,000"
"Australian Alliance for Animals — Farm Animal Welfare Advocacy","Australian Alliance for Animals","Farm Animal Welfare","Farm Animal Welfare",10/2023,"$150,000"
"AWAL — Meat-Reduction and Elimination Messaging Study","Animal Welfare Action Lab","Farm Animal Welfare","Farm Animal Welfare",06/2017,"$79,100"
